i,O_ICAO,D_ICAO,O_city,D_city,O_latitude,O_longtitude,D_latitude,D_longtitude,Pax
1260,LGAL,LGAV,Alexandroupolis,Athens,40.855869,25.956264,37.936358,23.944467,159192
1261,LGAL,OMAA,Alexandroupolis,Abu Dhabi,40.855869,25.956264,24.432972,54.651138,196302
1262,LGAV,OMDB,Athens,Dubai,37.936358,23.944467,25.252778,55.364444,385504
1263,LGAV,LATI,Athens,Tirana,37.936358,23.944467,41.414742,19.720561,120398
1264,LGAV,LOWW,Athens,Vienna,37.936358,23.944467,48.110278,16.569722,353002
1265,LGAV,EBBR,Athens,Brussels,37.936358,23.944467,50.901389,4.484444,411846
1266,LGAV,LBSF,Athens,Sofia,37.936358,23.944467,42.695194,23.406167,169878
1267,LGAV,CYYZ,Athens,Toronto,37.936358,23.944467,43.677223,-79.630556,102406
1268,LGAV,LSGG,Athens,Geneva,37.936358,23.944467,46.238064,6.10895,299828
1269,LGAV,LSZH,Athens,Zurich,37.936358,23.944467,47.464722,8.549167,675640
1270,LGAV,LCLK,Athens,Larnaca,37.936358,23.944467,34.875117,33.62485,1164142
1271,LGAV,LKPR,Athens,Prague,37.936358,23.944467,50.100833,14.26,98910
1272,LGAV,EDDB,Athens,Berlin,37.936358,23.944467,52.380001,13.5225,152364
1272,LGAV,EDDB,Athens,Berlin,37.936358,23.944467,52.366667,13.503333,152364
1273,LGAV,EDDF,Athens,Frankfurt,37.936358,23.944467,50.026421,8.543125,844336
1274,LGAV,EDDL,Athens,Duesseldorf,37.936358,23.944467,51.289453,6.766775,167222
1275,LGAV,EDDM,Athens,Munich,37.936358,23.944467,48.353783,11.786086,805828
1276,LGAV,EDDS,Athens,Stuttgart,37.936358,23.944467,48.689878,9.221964,: 
1277,LGAV,EDDT,Athens,Berlin,37.936358,23.944467,52.559686,13.287711,: 
1278,LGAV,EKCH,Athens,Copenhagen,37.936358,23.944467,55.617917,12.655972,249254
1279,LGAV,HECA,Athens,Cairo,37.936358,23.944467,30.121944,31.405556,182410
1280,LGAV,LGAL,Athens,Alexandroupolis,37.936358,23.944467,40.855869,25.956264,159675
1281,LGAV,LGHI,Athens,Chios,37.936358,23.944467,38.343175,26.140572,112298
1282,LGAV,LGIO,Athens,Ioannina,37.936358,23.944467,39.696388,20.8225,: 
1283,LGAV,LGIR,Athens,Heraklion,37.936358,23.944467,35.339719,25.180297,627257
1284,LGAV,LGKO,Athens,Kos,37.936358,23.944467,36.793335,27.091667,149418
1285,LGAV,LGKR,Athens,Kerkyra/corfu,37.936358,23.944467,39.601944,19.911667,196092
1286,LGAV,LGKV,Athens,Kavala,37.936358,23.944467,40.913306,24.619223,: 
1287,LGAV,LGLM,Athens,Limnos,37.936358,23.944467,39.917072,25.236308,: 
1288,LGAV,LGMK,Athens,Mykonos,37.936358,23.944467,37.435128,25.348103,215243
1289,LGAV,LGMT,Athens,Mytilini,37.936358,23.944467,39.056667,26.598333,206370
1290,LGAV,LGRP,Athens,Rhodos,37.936358,23.944467,36.405419,28.086192,431303
1291,LGAV,LGSA,Athens,Chania,37.936358,23.944467,35.531747,24.149678,307394
1292,LGAV,LGSM,Athens,Samos,37.936358,23.944467,37.689999,26.911667,100101
1293,LGAV,LGSR,Athens,Thira,37.936358,23.944467,36.399169,25.479333,372020
1294,LGAV,LGTS,Athens,Thessaloniki,37.936358,23.944467,40.519725,22.97095,888334
1295,LGAV,LEBL,Athens,Barcelona,37.936358,23.944467,41.297078,2.078464,293616
1296,LGAV,LEMD,Athens,Madrid,37.936358,23.944467,40.493556,-3.566764,282042
1297,LGAV,LFPG,Athens,Paris,37.936358,23.944467,49.012779,2.55,1166518
1298,LGAV,LFPO,Athens,Paris,37.936358,23.944467,48.725278,2.359444,108864
1299,LGAV,LHBP,Athens,Budapest,37.936358,23.944467,47.436933,19.255592,: 
1300,LGAV,LLBG,Athens,Tel-aviv,37.936358,23.944467,32.011389,34.886667,293570
1301,LGAV,LIMC,Athens,Milano,37.936358,23.944467,45.630606,8.728111,498546
1302,LGAV,LIML,Athens,Milan,37.936358,23.944467,45.445103,9.276739,: 
1303,LGAV,LIRF,Athens,Rome,37.936358,23.944467,41.804475,12.250797,1102314
1304,LGAV,OLBA,Athens,Beirut,37.936358,23.944467,33.820931,35.488389,85462
